id,name_heb,name_eng,geoname_id
NLI-VA-COUNTRIES141,??? ??????? ???????,Russian Federation,2017370
NLI-VA-COUNTRIES142,??????,Rwanda,49518
NLI-VA-COUNTRIES143,????? ???? ?????,Saint Kitts and Nevis,3575174
NLI-VA-COUNTRIES144,??? ?????,Saint Lucia,3576466
NLI-VA-COUNTRIES145,????? ?????? ?????????,Saint Vincent and the Grenadines,3577815
NLI-VA-COUNTRIES146,?????,Samoa,4034894
NLI-VA-COUNTRIES147,?? ?????,San Marino,3168070
NLI-VA-COUNTRIES148,??? ???? ?????????,Sao Tome and Principe,2410758
NLI-VA-COUNTRIES149,??? ???????,Saudi Arabia,102358
NLI-VA-COUNTRIES150,?????,Senegal,2245662
NLI-VA-COUNTRIES151,?????,Serbia,6290252
NLI-VA-COUNTRIES152,??? ?????,Seychelles,241170
NLI-VA-COUNTRIES153,????? ?????,Sierra Leone,2403846
NLI-VA-COUNTRIES154,???????,Singapore,1880252
NLI-VA-COUNTRIES155,???????,Slovakia,3057568
NLI-VA-COUNTRIES156,???????,Slovenia,3190538
NLI-VA-COUNTRIES157,??? ????,Solomon Islands,2103350
NLI-VA-COUNTRIES158,??????,Somalia,51537
NLI-VA-COUNTRIES159,???? ??????,South Africa,953987
NLI-VA-COUNTRIES160,???? ?????,South Sudan,7909807
NLI-VA-COUNTRIES161,????,Spain,2510769
NLI-VA-COUNTRIES162,??? ????,Sri Lanka,1227603
NLI-VA-COUNTRIES163,?????,Sudan,366755
NLI-VA-COUNTRIES164,???????,Suriname,3382998
NLI-VA-COUNTRIES165,?????????,Swaziland,934841
NLI-VA-COUNTRIES166,?????,Sweden,2661886
NLI-VA-COUNTRIES167,??????,Switzerland,2658434
NLI-VA-COUNTRIES168,???'??????,Tajikistan,1220409
NLI-VA-COUNTRIES169,???????,Thailand,1605651
NLI-VA-COUNTRIES170,????,Togo,2363686
NLI-VA-COUNTRIES171,?????,Tonga,4032283
NLI-VA-COUNTRIES172,???????? ??????,Trinidad and Tobago,3573591
NLI-VA-COUNTRIES173,???????,Tunisia,2464461
NLI-VA-COUNTRIES174,??????,Turkey,298795
NLI-VA-COUNTRIES175,???????????,Turkmenistan,1218197
NLI-VA-COUNTRIES176,??????,Tuvalu,2110297
NLI-VA-COUNTRIES177,??????,Uganda,226074
NLI-VA-COUNTRIES178,????????,Ukraine,690791
NLI-VA-COUNTRIES179,????? ????????? ???????,United Arab Emirates,290557
NLI-VA-COUNTRIES180,???????,United Kingdom of Great Britain and Northern Ireland,2635167
NLI-VA-COUNTRIES181,???????,United Republic of Tanzania,149590
NLI-VA-COUNTRIES182,????? ?????,United States of America,6252001
NLI-VA-COUNTRIES183,????????,Uruguay,3439705
NLI-VA-COUNTRIES184,??????????,Uzbekistan,1512440
NLI-VA-COUNTRIES185,??????,Vanuatu,2134431
NLI-VA-COUNTRIES186,???????,Venezuela,3625428
NLI-VA-COUNTRIES187,???????,Vietnam,1562822
NLI-VA-COUNTRIES188,????,Yemen,69543
NLI-VA-COUNTRIES189,?????,Zambia,895949
NLI-VA-COUNTRIES190,?????????,Zimbabwe,878675
